# Binding energy computed at nf=2, nt=50, Z_2 at order k^2
# mu_B/m_B   @k=0.02                   @k=0.04                   @k=0.06
0.9918      -0.00018285155333751753   -0.001494992365598711     -0.005709648222586997
0.992       -0.00019746157274084348   -0.0015748873926083348    -0.005957138253208064
0.9922      -0.00021292447113340616   -0.0016570537153217497    -0.0062094169689705285
0.9924      -0.000229244886021823     -0.0017413991907027286    -0.006466312601116595
0.9925      -0.0002464216441037618    -0.0018278284331591738    -0.006727671036733402
0.9928      -0.00026444761914837066   -0.0019162450661654401    -0.006993357524751924
0.993       -0.0002833097757839156    -0.002006553908398343     -0.007263257288177685
0.9932      -0.00030298941567346996   -0.002098662987565396     -0.007537275005744444
0.9934      -0.000323462631184509     -0.0021924852816020486    -0.007815333179976399
0.9936      -0.00034470095806734906   -0.0022879401003248296    -0.008097369461237527
0.9938      -0.0003666722038921353    -0.0023849540401125863    -0.008383333046077981
0.994       -0.00038934141442596975   -0.0024834614683993616    -0.008673180310875798
0.9942      -0.00041267192731516745   -0.002583404521974175     -0.008966869876731355
0.9944      -0.00043662645291696583   -0.002684732631393959     -0.009264357327669292
0.9945      -0.0004611681172038984    -0.0027874016112932874    -0.00956558982067335
0.9948      -0.0004862614022073202    -0.002891372381244047     -0.009870500832546501
0.995       -0.000511872925745151     -0.0029966094025552373    -0.010179005284878723
0.9952      -0.0005379720138115456    -0.003103078931818603     -0.010490995274550264
0.9954      -0.0005645310349915755    -0.0032107472012596013    -0.010806336613361969
0.9955      -0.0005915254851130847    -0.0033195786385816837    -0.011124866346985467
0.9958      -0.0006189338302619649    -0.003429534234854569     -0.011446391381114968
0.996       -0.000646737135380713     -0.0035405701583018884    -0.011770688292581067
0.9962      -0.0006749185221680833    -0.003652636695109585     -0.012097504346850545
0.9964      -0.0007034625124074734    -0.003765677576451325     -0.012426559682992657
0.9965      -0.0007323543200843072    -0.003879629724983528     -0.012757550565667939
0.9968      -0.0007615791570979103    -0.003994423425593086     -0.013090153544372403
0.997       -0.0007911216129361158    -0.004109982895960311     -0.013424030306805602
0.9972      -0.0008209651587882476    -0.00422622720451903      -0.013758832969709204
0.9974      -0.0008510918121478955    -0.004343071458724453     -0.014094209520453158
0.9975      -0.0008814819803769201    -0.004460428167192536     -0.01442980910907804
0.9978      -0.0009121144826905068    -0.004578208666978937     -0.014765286895424116
0.998       -0.000942966731523501     -0.004696324503300233     -0.015100308180139905
0.9982      -0.0009740150382201009    -0.004814688654001675     -0.015434551591032368
0.9984      -0.0010052349962254821    -0.004933216504917297     -0.01576771115513729
0.9985      -0.0010366018888049657    -0.00505182650404771      -0.01609949715849724
0.9988      -0.001068091068502148     -0.005170440450526257     -0.016429635775221607
0.999       -0.0010996782620553563    -0.005288983406396918     -0.016757867529641975
0.9992      -0.0011313397665206925    -0.00540738325261294      -0.017083944734655014
0.9994      -0.001163052518399599     -0.005525569942559585     -0.017407628120295254
0.9995      -0.00119479403562068      -0.005643474534083805     -0.017728682924422506
0.9998      -0.001226542250000173     -0.005761028102093505     -0.018046874758297474
1.          -0.0012582752630536406    -0.005878160646417337     -0.01836196558101233
1.0002      -0.0012899710688179836    -0.0059948001126194144    -0.018673710116754318
1.0004      -0.0013216072922803196    -0.006110871636411004     -0.018981853027410105
1.0006      -0.001353160990434828     -0.006226297105566275     -0.01928612711105944
1.0008      -0.0013846085550284373    -0.006340995107938035     -0.01958625273649007
