# Baryon number density at varying a (fm) keeping mb=30GeV and T=10MeV
# a (fm)               nb_val                   nb_error
0.17015923896624235    0.00003375851208056294   0.
0.16250887310825868    0.00003843333179814661   0.
0.1553461715059461     0.00004440523677529476   0.
0.1486335091156702     0.00005050833316234873   0.
0.14233653135183877    0.000057421082492450294  0.
0.136423838393805      0.0000652325031182532    1.3552527156068805e-20
0.1308667026351054     0.0000740381090426893    0.
0.12563881554098463    0.00008393962324698394   1.3552527156068805e-20
0.12071606062814562    0.00009396450342796424   5.421010862427522e-20
0.11607630967188713    0.0001062929631244996    7.995991022080595e-19
0.11169923958775224    0.00011878310721892438   4.756937031780151e-18
0.10756616773408073    0.00013261071284428763   2.7863995832877464e-17
0.10365990364399374    0.00014786688209976668   1.6753634070332257e-16
0.09996461542522792    0.00016463222762678597   1.0435988011259223e-15
0.09646570926800771    0.00018296908990337912   6.565928356572215e-15
0.09314972067846226    0.00020291106259539323   4.0121443493912334e-14
0.09000421621102822    0.00022444922191894813   2.3145716029557284e-13
0.08701770461059291    0.0002454888937743782    7.979325750487321e-13
0.08417955639611957    0.00026767030801471943   2.7204677312958614e-12
0.08147993102424224    0.00029298733230986775   1.5741373211430182e-11
0.07890971086555022    0.0003166679759641571    5.601245877707994e-11
0.07646044130957866    0.0003403051830301576    2.0021721731716333e-10
0.07412427638818833    0.00036316114121585994   7.137552061431233e-10
0.07189392937225486    0.0003817150760648665    1.8317084295735656e-9
0.06976262785438392    0.00039987780310404137   6.651372425493102e-9
0.06772407288164212    0.00041372420104830303   2.3158135940143376e-8
0.06577240174779808    0.00041926193578534476   6.255502455853983e-8

# Ignored values
#0.06390215409499998   0.000417750923081185     1.696751406920008e-7
#0.062108241010764634  0.00040835688659098804   4.596868755459872e-7
#0.06038591683814292   0.0003914483249100672    1.2338226026584144e-6
#0.058730753445411295  0.00036989232599446127   3.2524420578217464e-6
#0.057138616727029655  0.0003513042357151465    8.354666735240499e-6
#0.055605645130249244  0.0003515090021053883    0.000018250799116378412
