#Convergence plot for nb vs h2 @ h1 = 0.8 and beta = 0
#h2     nb @ O(k2)          nb @ O(k4)          nb @ O(k6)          nb @ O(k8)
0.      1.6524682195552316  1.6524682195552316  1.6524682195552316  1.6524682195552316
0.0002  1.650175489593268   1.6501791644445378  1.6501791608604415  1.650179160861592
0.0004  1.6478827596313046  1.647897459036383   1.647897430363614   1.6478974303820189
0.0006  1.6455900296693413  1.6456231033307684  1.6456230065601725  1.645623006653347
0.0008  1.6432972997073778  1.6433560973276924  1.6433558679455393  1.6433558682400164
0.001   1.6410045697454143  1.6410964410271558  1.6410959930151379  1.6410959937340766
0.0012  1.6387118397834508  1.6388441344291584  1.6388433602643917  1.6388433617551827
0.0014  1.6364191098214875  1.636599177533701   1.636597948188724   1.6365979509505983
0.0016  1.634126379859524   1.634361570340782   1.6343597352835575  1.634359739995193
0.0018  1.6318336498975605  1.632131312850403   1.6321287000443152  1.6321287075914443
0.002   1.629540919935597   1.6299084050625627  1.6299048209664209  1.6299048324694372
0.0022  1.627248189973634   1.6276928469772625  1.6276880765452972  1.6276880933868636
0.0024  1.6249554600116705  1.625484638594501   1.6254784452763673  1.625478469129022
0.0026  1.622662730049707   1.623283779914279   1.6232759056550548  1.6232759385088198
0.0028  1.6203700000877435  1.621090270936596   1.621080436176782   1.6210804803667695
0.003   1.6180772701257802  1.618904111661453   1.6188920153369735  1.6188920735709935
0.0032  1.6157845401638167  1.6167253020888488  1.616710621631051   1.6167106970172185
0.0034  1.6134918102018532  1.614553842218784   1.6145362335544378  1.6145363296287805
0.0036  1.6111990802398897  1.6123897320512586  1.6123688296025578  1.612368950356622
0.0038  1.6089063502779264  1.6102329715862727  1.6102083882708338  1.6102085381792928
0.004   1.6066136203159629  1.6080835608238258  1.608054888054689   1.60805507210295
0.0042  1.6043208903539994  1.605941499763918   1.6059083074495464  1.605908531161358
0.0044  1.6020281603920359  1.6038067884065499  1.603768624950829   1.6037688944158879
0.0046  1.5997354304300728  1.6016794267517211  1.6016358190539606  1.6016361409555193
0.0048  1.5974427004681093  1.5995594147994316  1.5995098682543634  1.5995102498968374
0.005   1.5951499705061458  1.5974467525496814  1.597390751047461   1.597391200384036
0.0052  1.5928572405441823  1.5953414400024704  1.5952784459286768  1.5952789715889155
0.0054  1.590564510582219   1.593243477157799   1.593172931393434   1.5931735427108837
0.0056  1.5882717806202555  1.5911528640156665  1.5910741859371553  1.591074892976955
0.0058  1.585979050658292   1.5890696005760736  1.588982188055264   1.5889830016417525
0.006   1.5836863206963285  1.58699368683902    1.5868969162431832  1.586897847987505
0.0062  1.5813935907343653  1.5849251228045056  1.5848183489963366  1.58481941132405
0.0064  1.5791008607724017  1.5828639084725307  1.5827464648101464  1.5827476709888304
0.0066  1.5768081308104382  1.5808100438430945  1.5806812421800363  1.5806826063468977
0.0068  1.5745154008484747  1.5787635289161983  1.5786226596014292  1.5786241967909107
0.007   1.5722226708865117  1.5767243636918415  1.576570695569749   1.5765724217411354
0.0072  1.5699299409245482  1.5746925481700234  1.574525328580418   1.5745272606454437
0.0074  1.5676372109625847  1.572668082350745   1.5724865371288594  1.572488692979316
0.0076  1.5653444810006212  1.5706509662340058  1.5704542997104967  1.5704566982458403
0.0078  1.563051751038658   1.568641199819806   1.568428594820753   1.5684312559757105
0.008   1.5607590210766944  1.5666387831081456  1.5664094009550515  1.566412345727229
0.0082  1.558466291114731   1.564643716099024   1.564396696608815   1.5643999470863044
0.0084  1.5561735611527674  1.5626559987924422  1.5623904602774668  1.5623940396664535
0.0086  1.5538808311908041  1.5606756311884     1.5603906704564303  1.5603946031087998
0.0088  1.5515881012288406  1.5587026132868964  1.5583973056411282  1.5584016170820734
0.0090  1.549295371266877   1.5567369450879325  1.5564103443269843  1.5564150612826133
0.0092  1.5470026413049136  1.5547786265915078  1.554429765009421   1.5544349154343644
0.0094  1.5447099113429505  1.5528276577976226  1.552455546183862   1.552461159288879
0.0096  1.542417181380987   1.5508840387062766  1.55048766634573    1.5504937726253174
0.0098  1.5401244514190235  1.5489477693174698  1.5485261039904485  1.548532735250446
0.01    1.53783172145706    1.5470188496312023  1.5465708376134404  1.5465780269986393
0.0102  1.5355389914950968  1.5450972796474745  1.5446218457101293  1.5446296277318796
0.0104  1.5332462615331333  1.5431830593662856  1.542679106775938   1.5426875173397543
0.0106  1.5309535315711698  1.541276188787636   1.5407425993062893  1.5407516757394597
0.0108  1.5286608016092063  1.539376667911526   1.5388123017966069  1.5388220828757995
0.0110  1.526368071647243   1.5374844967379553  1.5368881927423144  1.5368987187211842
0.0112  1.5240753416852795  1.5355996752669239  1.5349702506388336  1.534981563275631
0.0114  1.521782611723316   1.5337222034984315  1.5330584539815884  1.5330705965667646
0.0116  1.5194898817613525  1.5318520814324785  1.5311527812660022  1.5311657986498175
0.0118  1.5171971517993894  1.5299893090690653  1.529253210987498   1.5292671496076298
0.012   1.514904421837426   1.5281338864081908  1.5273597216414985  1.5273746295506472
0.0122  1.5126116918754624  1.5262858134498558  1.525472291723427   1.5254882186169234
0.0124  1.510318961913499   1.5244450901940603  1.523590899728707   1.5236078969721207
0.0126  1.5080262319515356  1.522611716640804   1.5217155241527618  1.521733644809506
0.0128  1.5057335019895721  1.520785692790087   1.5198461434910135  1.5198654423499562
0.0130  1.5034407720276086  1.5189670186419093  1.5179827362388862  1.5180032698419534
0.0132  1.5011480420656451  1.517155694196271   1.516125280891803   1.5161471075615878
0.0134  1.4988553121036816  1.5153517194531716  1.5142737559451869  1.5142969358125564
0.0136  1.4965625821417183  1.5135550944126122  1.5124281398944608  1.512452734926165
0.0138  1.4942698521797548  1.5117658190745917  1.5105884112350483  1.510614485261324
0.014   1.4919771222177913  1.5099838934391105  1.5087545484623721  1.5087821672045527
0.0142  1.4896843922558278  1.5082093175061684  1.5069265300718553  1.5069557611699775
0.0144  1.4873916622938648  1.5064420912757663  1.5051043345589217  1.5051352475993325
0.0146  1.4850989323319013  1.504682214747903   1.5032879404189938  1.5033206069619578
0.0148  1.4828062023699378  1.5029296879225793  1.5014773261474947  1.5015118197548012
0.0150  1.4805134724079743  1.5011845107997943  1.4996724702398483  1.4997088665024183
0.0152  1.478220742446011   1.4994466833795494  1.4978733511914772  1.4979117277569718
0.0154  1.4759280124840475  1.4977162056618436  1.4960799474978046  1.4961203840982311
0.0156  1.473635282522084   1.495993077646677   1.4942922376542536  1.494334816133573
0.0158  1.4713425525601205  1.4942772993340494  1.4925102001562474  1.4925550044979818
0.016   1.4690498225981572  1.4925688707239617  1.4907338134992092  1.4907809298540493
0.0162  1.4667570926361937  1.490867791816413   1.4889630561785618  1.4890125728919739
0.0164  1.4644643626742302  1.4891740626114036  1.487197906689729   1.4872499143295612
0.0166  1.4621716327122667  1.4874876831089336  1.4854383435281335  1.4854929349122248
0.0168  1.4598789027503036  1.485808653309003   1.4836843451891988  1.4837416154129843
0.017   1.4575861727883401  1.4841369732116114  1.4819358901683475  1.4819959366324682
0.0172  1.4552934428263766  1.4824726428167594  1.480192956961003   1.4802558793989111
0.0174  1.4530007128644131  1.4808156621244466  1.4784555240625887  1.478521424568155
0.0176  1.4507079829024498  1.4791660311346733  1.4767235699685277  1.4767925530236496
0.0178  1.4484152529404863  1.477523749847439   1.4749970731742428  1.4750692456764505
0.0180  1.4461225229785228  1.475888818262744   1.4732760121751571  1.4733514834652222
0.0182  1.4438297930165593  1.4742612363805885  1.471560365466694   1.471639247356236
0.0184  1.441537063054596   1.4726410042009725  1.469850111544277   1.4699325183433702
0.0186  1.4392443330926326  1.4710281217238956  1.4681452289033285  1.4682312774481094
0.0188  1.436951603130669   1.4694225889493577  1.4664456960392722  1.466535505719547
0.019   1.4346588731687056  1.4678244058773595  1.4647514914475313  1.4648451842343833
0.0192  1.4323661432067425  1.4662335725079008  1.4630625936235284  1.4631602940969253
0.0194  1.430073413244779   1.464650088840981   1.4613789810626872  1.4614808164390873
0.0196  1.4277806832828155  1.4630739548766007  1.4597006322604305  1.4598067324203914
0.0198  1.425487953320852   1.4615051706147597  1.4580275257121813  1.4581380232279662
0.02    1.4231952233588887  1.4599437360554584  1.4563596399133634  1.456474670076548
0.0202  1.4209024933969252  1.4583896511986956  1.4546969533593992  1.45481665420848
0.0204  1.4186097634349617  1.4568429160444725  1.4530394445457127  1.4531639568937131
0.0206  1.4163170334729982  1.4553035305927886  1.4513870919677259  1.4515165594298058
0.0208  1.414024303511035   1.4537714948436444  1.4497398741208634  1.4498744431419228
0.021   1.4117315735490714  1.4522468087970393  1.4480977695005468  1.448237589382836
0.0212  1.409438843587108   1.4507294724529736  1.4464607566022005  1.4466059795329258
0.0214  1.4071461136251444  1.4492194858114469  1.4448288139212466  1.4449795950001785
0.0216  1.4048533836631814  1.4477168488724597  1.4432019199531094  1.443358417220189
0.0218  1.4025606537012179  1.446221561636012   1.441580053193211   1.4417424276561575
0.0220  1.4002679237392543  1.4447336241021032  1.4399631921369753  1.4401316077988935
0.0222  1.3979751937772908  1.4432530362707339  1.4383513152798248  1.4385259391668126
0.0224  1.3956824638153276  1.4417797981419043  1.4367444011171835  1.436925403305938
0.0226  1.393389733853364   1.4403139097156137  1.4351424281444736  1.4353299817899
0.0228  1.3910970038914006  1.4388553709918623  1.4335453748571185  1.4337396562199356
0.023   1.388804273929437   1.4374041819706502  1.4319532197505418  1.43215440822489
0.0232  1.3865115439674736  1.4359603426519776  1.4303659413201664  1.4305742194612154
0.0234  1.3842188140055103  1.4345238530358444  1.4287835180614155  1.4289990716129712
0.0236  1.3819260840435468  1.43309471312225    1.427205928469712   1.427428946391823
0.0238  1.3796333540815833  1.4316729229111953  1.4256331510404792  1.4258638255370455
0.024   1.3773406241196202  1.43025848240268    1.4240651642691404  1.4243036908155198
0.0242  1.3750478941576567  1.4288513915967038  1.4225019466511184  1.4227485240217332
0.0244  1.3727551641956932  1.427451650493267   1.4209434766818367  1.4211983069777816
0.0246  1.3704624342337297  1.4260592590923695  1.4193897328567182  1.4196530215333678
0.0248  1.3681697042717662  1.4246742173940112  1.4178406936711863  1.4181126495658019
0.025   1.365876974309803   1.4232965253981926  1.416296337620664   1.4165771729800012
0.0252  1.3635842443478394  1.421926183104913   1.4147566432005743  1.4150465737084892
0.0254  1.361291514385876   1.420563190514173   1.4132215889063406  1.4135208337113983
0.0256  1.3589987844239126  1.4192075476259722  1.4116911532333858  1.4119999349764678
0.0258  1.3567060544619491  1.4178592544403106  1.4101653146771334  1.4104838595190428
0.0260  1.3544133244999856  1.4165183109571882  1.408644051733006   1.4089725893820773
0.0262  1.3521205945380221  1.4151847171766052  1.4071273428964273  1.4074661066361316
