# Convergence in N_B using Z2 as a function of h_2 with beta=0, nt=50, h1=0.8
# h2      @o(k^2)                 @o(k^4)                 @o(k^6)                  @o(k^8)
0.0375    1.2225813516870883      1.210762723264721       1.210831878049671        1.2120329028665149
0.0377    1.2191422567441432      1.207133773874799       1.2072046016877143       1.2084445229568446
0.03805   1.2157031618011982      1.203503311700439       1.2035758393091998       1.2048555942447412
0.0384    1.2122640668582527      1.1998713367416403      1.199945591126571        1.2012661318779385
0.0387    1.2088249719153077      1.1962378489984042      1.1963138573522731       1.1976761511222382
0.039     1.2053858769723622      1.1926028484707296      1.192680638198748        1.194085667361505
0.03925   1.2019467820294178      1.188966335158618       1.189045933878441        1.1904946960976721
0.03956   1.1985076870864724      1.1853283090620672      1.1854097446037926       1.186903252950734
0.0399    1.1950685921435273      1.1816887701810788      1.181772070587249        1.1833113536587545
0.0402    1.1916294972005819      1.178047718515652       1.178132912041252        1.1797190140778613
0.04044   1.1881904022576368      1.1744051540657874      1.1744922691782467       1.1761262501822487
0.04076   1.1847513073146925      1.1707610768314856      1.1708501422106767       1.1725330780641758
0.0411    1.181312212371747       1.1671154868127445      1.1672065313509825       1.1689395139339656
0.0414    1.177873117428802       1.1634683840095659      1.163561436811611        1.16534557412001
0.04164   1.1744340224858565      1.1598197684219484      1.159914858805003        1.1617512750687635
0.04196   1.1709949275429115      1.1561696400498938      1.1562667975436047       1.1581566333447486
0.0423    1.1675558325999664      1.152517998893401       1.1526172532398575       1.1545616656305515
0.0426    1.1641167376570203      1.148864844952469       1.1489662261062048       1.1509663887268236
0.04284   1.160677642714076       1.1452101782271005      1.145313716355093        1.1473708195522856
0.04315   1.157238547771131       1.1415539987172936      1.1416597241989628       1.1437749751437187
0.0435    1.1537994528281854      1.1378963064230478      1.138004249850258        1.1401788726559716
0.0438    1.1503603578852406      1.1342371013443646      1.134347293521423        1.1365825293619607
0.0440    1.146921262942295       1.130576383481243       1.1306888554249          1.1329859626526642
0.04435   1.1434821679993505      1.1269141528336843      1.1270289357731347       1.1293891900371298
0.0447    1.140043073056405       1.1232504094016864      1.1233675347785677       1.1257922291424665
0.045     1.13660397811346        1.119585153185251       1.119704652653645        1.1221950977138522
0.0452    1.1331648831705146      1.115918384184377       1.116040289610809        1.1185978136145287
0.04555   1.1297257882275695      1.1122501023990654      1.1123744458625036       1.1150003948258047
0.04586   1.1262866932846247      1.108580307829316       1.1087071216211717       1.111402859447053
0.0462    1.122847598341679       1.1049090004751276      1.105038317099257        1.1078052256957116
0.0464    1.1194085033987347      1.1012361803365025      1.101368032509204        1.1042075119072872
0.04674   1.1159694084557892      1.0975618474134383      1.0976962680634543       1.100609736535347
0.04706   1.1125303135128441      1.0938860017059364      1.0940230239744528       1.0970119181515288
0.0474    1.1090912185698987      1.090208643213996       1.090348300454642        1.0934140754455317
0.0476    1.1056521236269536      1.086529771937618       1.0866720977164672       1.0898162272251244
0.04794   1.1022130286840088      1.082849387876802       1.0829944159723701       1.086218392416138
0.04826   1.0987739337410631      1.0791674910315474      1.0793152554347945       1.0826205900624695
0.0486    1.0953348387981183      1.0754840814018551      1.0756346163161852       1.0790228393260834
0.0489    1.0918957438551726      1.0717991589877243      1.0719524988289837       1.0754251594870075
0.04914   1.0884566489122278      1.0681127237891561      1.068268903185635        1.071827569943337
0.04945   1.0850175539692828      1.0644247758061498      1.0645838295985823       1.0682300902112318
0.0498    1.0815784590263378      1.0607353150387053      1.0608972782802693       1.0646327399249167
0.0501    1.0781393640833923      1.0570443414868222      1.0572092494431384       1.0610355388366823
0.0503    1.0747002691404473      1.053351855150502       1.053519743299634        1.0574385068168861
0.05065   1.0712611741975024      1.0496578560297434      1.0498287600621998       1.05384166385395
0.051     1.0678220792545567      1.045962344124546       1.046136299943278        1.0502450300543607
0.0513    1.064382984311612       1.0422653194349114      1.0424423631553141       1.0466486256426726
0.0515    1.060943889368667       1.0385667819608386      1.0387469499107502       1.0430524709615039
0.05185   1.0575047944257219      1.0348667317023277      1.0350500604220303       1.0394565864715384
0.05216   1.0540656994827757      1.0311651686593777      1.0313516949015962       1.035860992751525
0.0525    1.0506266045398314      1.0274620928319913      1.0276518535618953       1.0322657104982818
0.0527    1.047187509596886       1.0237575042201656      1.023950536615367        1.0286707605266872
0.05304   1.0437484146539409      1.0200514028239027      1.020247744274457        1.0250761637696888
0.05336   1.040309319710996       1.0163437886432014      1.0165434767516093       1.021481941278298
0.0537    1.036870224768051       1.0126346616780624      1.0128377342592654       1.0178881142215928
0.0539    1.033431129825106       1.008924021928485       1.00913051700987         1.0142947038867156
0.05424   1.0299920348821605      1.005211869394469       1.0054218252158664       1.010701731678875
