#Positions of zeros of the partition function for a 2x2x2 lattice at Nt=1
#Real                  Imag
-73.89927421828226     0
-71.38212947324453     -19.133290958686477
-71.38212947324453     19.133290958686477
-64.00195365880609     -36.96173991261328
-64.00195365880609     36.96173991261328
-52.26098068572966     -52.26974990579048
-52.26098068572966     52.26974990579048
-36.95846609124862     -64.01394103985415
-36.95846609124862     64.01394103985415
-19.136440925008998    -71.39421185342502
-19.136440925008998    71.39421185342502
-4.469619836415645     -0.1921677782524543
-4.46961863372484      0.19215903630481307
-4.46911091031274      -0.14411351050408383
-4.469009433824423     0.14417353314994968
-4.46846122970823      0
-4.468241646685997     0
-4.467689289734438     0
-4.467583789427172     0
-2.5846670274211445    0
-2.560440375843852     0
-2.547363891407252     0
-2.5431185044707973    0
-2.5354412912615363    0
-2.5335714122348785    0
-2.5154791038794326    0
-2.5083744900350315    0
-1.7491067203921549    0
-1.7301266978009109    0
-1.714466456527916     0
-1.6965971404299767    0
-1.6692066877091019    0
-1.6613906427983465    0
-1.6397681621153086    0
-1.6062676348560287    0
-1.2258117625663023    0
-1.212818332530928     0
-1.1867902930746619    0
-1.17952731085145      0
-1.1519121568409179    0
-1.1381225156198995    0
-1.132624246235295     0
-1.1106800311977985    0
-0.8784301714204763    0
-0.8618093449218273    0
-0.8476487563407824    0
-0.8299422921991425    0
-0.8197056444481401    0
-0.8049719467466888    0
-0.795368961347691     0
-0.7882603744022701    0
-0.6001494116418421    0
-0.5943628599549691    0
-0.5856977177495388    0
-0.5823108623699129    0
-0.5721245639618713    0
-0.5689596139312403    0
-0.5656734300620625    0
-0.5650008312710818    0
-0.3906873123679834    0
-0.3880375475294279    0
-0.3856445993113271    0
-0.38527061037376487   0
-0.3837080728961049    0
-0.38367963710649966   0
-0.3797358202561523    0
-0.3794529746600265    0
-0.21914597329610683   0
-0.2191339900320291    0
-0.21905895082939192   0
-0.21905638704379896   0
-0.2188684103661161    0.007485689747007428
-0.21886806566785583   -0.007486131487178076
-0.21863785724892634   -0.009971557419858227
-0.2186365726859529    0.009970849128134148
-0.008828902993277156  73.90818771666711
-0.008828902993277153  -73.90818771666711
0.10068299351125509    0.1943302602779456
0.10068311419876834    -0.19433018051854536
0.10293762182963644    -0.1932897254023124
0.10294978158742872    0.19328325386277467
0.10561593058743945    0.19196926317775553
0.1056184558984565     -0.19196805679757523
0.10782931671590237    -0.1907930784294529
0.10785703537553272    0.19076252261031362
0.11131047601337542    -0.1888215012507141
0.11132027056831356    0.18878516962914693
0.11344870396126494    0.18744627521724574
0.11347809858378971    -0.18747136483462723
0.1159120795141848     0.1858061359551642
0.11592289981146148    -0.18580463288980054
0.11795330994181673    -0.18435941972211403
0.11795332794789377    0.18435837808028674
0.17660980309232252    0
0.17689003825338095    0
0.17922447012367418    0
0.18123252608710338    0
0.1826727255559451     0
0.1827355067348593     0
0.19040886433934157    0
0.19154159460063258    0
0.1925906314164973     0
0.19411533098393288    0
0.19889848204627572    0
0.19987956029294465    0
0.20246862725767184    0
0.2034546245231676     0
0.206895512007193      0
0.20768164775755402    0
0.25921121016463344    0
0.2604388057387145     0
0.26822061169242106    0
0.26952035089207343    0
0.27123757491780287    0
0.27976992156134406    0
0.28290696019321165    0
0.2890935330575062     0
0.2933857065341766     0
0.29760786311283016    0
0.30599785838562443    0
0.30781424902942417    0
0.3150332540104964     0
0.31808638520092913    0
0.3209849707323228     0
0.32121805185660535    0
0.36807261653176415    0
0.36849427628730785    0
0.3730185806888938     0
0.37327291256915834    0
0.3856423652646983     0
0.38660094556180785    0
0.4011604415400032     0
0.4032685472469609     0
0.43291255905053094    0
0.4382377380747422     0
0.4401924333457345     0
0.4482397730741592     0
0.4511884468910444     0
0.4619570128504739     0
0.46320990875676504    0
0.46825557998421413    0
0.507072953670673      0
0.521242344596002      0
0.5271611810101549     0
0.5338289307228975     0
0.5413658227785405     0
0.5518174313702913     0
0.5632573228155573     0
0.597623557895861      0
0.5992245608778328     0
0.607884106619977      0
0.6106235566585823     0
0.628048896823308      0
0.6417143766263216     0
0.6524284360471159     0
0.6540975630448796     0
0.655407715527471      0
0.7466812971307074     0
0.7580008811421507     0
0.7630986703380574     0
0.7751952656060891     0
0.7943427925465018     0
0.7961372332386478     0
0.8079432954980552     0
0.8118430078138388     0
0.8305372248327593     0
0.8672611190103126     0
0.8839475751939806     0
0.9038363741373088     0
0.906658245825067      0
0.9154042769752448     0
0.9214224850047625     0
0.923970184993803      0
1.1739130662965584     0
1.1759530073914712     0
1.1905890195041056     0
1.196667819595339      0
1.2089210075343908     0
1.2395839914204045     0
1.2410077320334107     0
1.260113897666566      0
1.2711892770680189     0
1.292491024961851      0
1.3220021626231937     0
1.3268984837779358     0
1.3405865824795882     0
1.3591207540726404     0
1.3605095325518404     0
1.3720312589201258     0
2.06838799106059       -3.966887233264024
2.068433152709655      3.9668912324909456
2.109696527022649      -3.942324664563719
2.109710690646684      3.942340621003065
2.1588525483577827     3.914243073968964
2.1590134786660937     -3.9131567670469236
2.2005656601183388     3.8889830247704205
2.2011112308968754     -3.8882282865749853
2.2675660561350046     -3.850761929328333
2.2678495911592935     3.8502723494937947
2.3094206236849377     3.8263898632201307
2.3096481951619756     -3.8268657526879974
2.3593119174197406     3.7982692146019836
2.359345175662401      -3.79820548730017
2.4012306508520616     -3.774719807440627
2.4012829396936994     3.774745105218824
19.12114870840066      -71.3853829794029
19.12114870840066      71.3853829794029
36.94963710914113      -63.99864879426485
36.949637109141136     63.99864879426485
52.26098076484387      -52.25209202071643
52.26098076484387      52.25209202071643
64.01078256179936      -36.94644780405383
64.01078256179936      36.94644780405383
71.39742161073866      -19.12446194763454
71.39742161073866      19.12446194763454
73.91693218249723      0
