# nb of mu/m for saturation plot, T=10 MeV, mb = 30 GeV
# mu    a = 0.10                 error                   a = 0.09                 error
0.996   3.274964560979267e-8     3.943997160652836e-21   4.7491734373035746e-8    5.332337100761838e-19
0.9962  5.985179112700217e-8     1.3181950241645049e-20  8.655680701005121e-8     1.776294264841272e-18
0.9964  1.0937581477839032e-7    4.4310411053240586e-20  1.5774499458027736e-7    5.930157073066162e-18
0.9966  1.9985601471220498e-7    1.4915720805556195e-19  2.874467537471347e-7     1.9876633958947022e-17
0.9968  3.6511111959501476e-7    5.058904277476309e-19   5.2367704876275e-7       6.709559733438127e-17
0.997   6.667639438327795e-7     1.7370528165817564e-18  9.536642643419106e-7     2.293525934357046e-16
0.9972  1.2168189187859277e-6    6.091013923705674e-18   1.7354449987702218e-6    8.012266760162087e-16
0.9974  2.2179214422123703e-6    2.2129159263492224e-17  3.153928294776923e-6     2.902086919707265e-15
0.9976  4.033652182753078e-6     8.497773340034043e-17   5.7181403630026465e-6    1.1120056054626532e-14
0.9978  7.306443412601891e-6     3.5286376143077447e-16  0.000010322743408756812  4.609756417458654e-14
0.998   0.000013140253491598205  1.6082851738742632e-15  0.00001849413935563227   2.0962611597193266e-13
0.9982  0.000023338204702915337  7.949343223609406e-15   0.00003270006229438192   1.0313970272464446e-12
0.9984  0.00004058431992555558   4.003352147398734e-14   0.00005655895424180486   5.14896573321948e-12
0.9986  0.00006823923463707692   1.8040315064287576e-13  0.00009450050851538932   2.288192373208972e-11
0.9988  0.00010925856951509324   6.036417703582722e-13   0.00015027842297630448   7.52149909195865e-11
0.999   0.0001643630835078294    1.2719689667858858e-12  0.00022463744853052514   1.5588406905358773e-10
0.9992  0.00023125712336371997   1.7525152607323485e-12  0.00031446673418787104   2.1305179332981733e-10
0.9994  0.0003065138992039182    2.037772348865291e-12   0.00041526693282712795   2.469845059808323e-10
0.9996  0.0003877870859565859    1.6765517468243785e-12  0.0005239493193914529    2.0173301299841045e-10
0.9998  0.000473392643374457     4.2704034752816256e-13  0.0006383750526065458    5.068856207164629e-11
1.      0.0005612655350646972    1.144496281600682e-12   0.0007559723196786888    1.3907495673756015e-10
1.0002  0.0006492578282699079    3.694923273594997e-12   0.0008740305425881053    4.4674715803886406e-10
1.0004  0.0007352336957893314    3.873584179109324e-12   0.0009898882745238574    4.696892777055622e-10
1.0006  0.000817089877163738     7.066717111654797e-12   0.0011008438521904046    8.427385748879107e-10
1.0008  0.0008931261858026885    1.8814238795378246e-11  0.0012046779581529553    2.2613167187292976e-9
1.001   0.0009611396200798881    1.2085446792625687e-11  0.0012988369588411266    1.5207275029082562e-9
1.0012  0.001017753156105357     1.629475048815776e-11   0.001379140925039355     1.897497583320737e-9
1.0014  0.001060402791177698     2.5487922536426844e-11  0.001441579640790189     3.10553521917431e-9
1.0016  0.0010894588322535176    1.2585847078069867e-11  0.0014854700137885842    1.5882513429432699e-9
1.0018  0.0011077171511367516    2.9697099813985606e-13  0.001513765040744903     7.529857835343601e-11
1.002   0.0011185670397932466    4.222676028287076e-12   0.0015308945605710346    5.025691967620871e-10
1.0022  0.001124792300044725     4.2579165020206755e-12  0.0015408489844617977    5.208879597182886e-10
1.0024  0.0011282907130541458    3.04779487238227e-12    0.0015464920779109186    3.771492842422758e-10
1.0026  0.0011302335037931804    1.9081162431350274e-12  0.0015496453580048442    2.377860736004628e-10
1.0028  0.0011313052399447995    1.1205502671585155e-12  0.001551393045711666     1.403521873374891e-10
1.003   0.001131894280326719     6.367877145724288e-13   0.0015523572870434076    8.008437381128164e-11
