# Pressure as a function of (mu/mb)^5/2, T=10MeV, mb=30GeV, resummed action
# mu^(5/2)          pressure                pressure_error
0.990029979989988   2.4500357642744085e-10  3.6708926910761535e-11
0.9905270578443455  4.4825982403215216e-10  6.126240192812075e-11
0.9910242854134318  8.199925864632118e-10   1.01424862599576e-10
0.9915216627122747  1.4996067284556125e-9   1.66321945391192e-10
0.9920191897559002  2.7413726164063094e-9   2.6961814072768664e-10
0.9925168665593331  5.008023351188049e-9    4.309681201849176e-10
0.9930146931375969  9.138280934425378e-9    6.771095346704922e-10
0.9935126695057134  1.6641487393559767e-8   1.0417031003156753e-9
0.9940107956787031  3.0199238293024505e-8   1.56313336399054e-9
0.9945090716715844  5.4468425981821394e-8   2.2826571673804183e-9
0.9950074974993747  9.721665068405239e-8    3.258833716319345e-9
0.9955060731770897  1.705208500147106e-7    4.649192473524967e-9
0.9960047987197438  2.9105526239701306e-7   6.941396322494576e-9
0.9965036741423499  4.778545524461991e-7    1.1262256484787886e-8
0.997002699459919   7.472061518224965e-7    1.9304247579754316e-8
0.997501874687461   1.1072641427170813e-6   3.350244984962695e-8
0.998001199839984   1.5559210438886892e-6   5.910312536674716e-8
0.9985006749324948  2.0861108466295056e-6   1.025992890736268e-7
0.9990002999799992  2.6849589902467807e-6   1.723235004387179e-7
0.9995000749975     3.32977931100929e-6     2.824259655207799e-7
1.                  4.005770125663411e-6    4.437184466538333e-7
1.0005000750024997  4.70034838372275e-6     6.721605634643497e-7
1.0010003000199987  5.4287204464139705e-6   9.629964988759694e-7
1.0015006750674948  6.261184396590877e-6    1.3008415551352483e-6
1.0020012001599838  7.053346335260956e-6    1.807751776717114e-6
1.0025018753124606  8.03318037280778e-6     2.335370365436213e-6
