# Baryon number density as a function of (mu/mb)^3/2, T=10MeV, mb=30GeV, resummed action
#mu^3/2             nb                       nb_error
0.994006004006012   7.223199676082727e-7     3.5969832145983584e-9
0.9943054184343962  1.3102926009222722e-6    1.2454494018197211e-9
0.9946048629199437  2.3764339744033253e-6    1.646849405077288e-8
0.9949043374596375  4.308693138494721e-6     5.574926841783304e-8
0.9952038420504615  7.807736517349674e-6     1.478832126019774e-7
0.9955033766894013  0.000014134432855734177  3.515029627064207e-7
0.9958029413734426  0.000025542813951793943  7.816613826447585e-7
0.9961025360995723  0.00004601417730250068   1.6531089353082457e-6
0.9964021608647785  0.00008242790471656721   3.335540798401267e-6
0.9967018156660497  0.0001462022602347307    6.373309550423476e-6
0.9970015005003754  0.00025493240997436953   0.000011296937080928867
0.9973012153647463  0.0004321848553233838    0.00001782947847466784
0.9976009602561536  0.0007016829074857861    0.000023128197925201158
0.9979007351715902  0.0010737511540841991    0.000020185616429360285
0.9982005401080487  0.001533571369284818     0.00002870393929021399
0.9985003750625235  0.0020489008628341186    0.00004570393929021399
0.9988002400320096  0.0025926600493698325    0.00011880917172465153
0.9991001350135029  0.0031463886315049165    0.00021749474205055982
0.9994000600040006  0.003680281040441572     0.00035067558767664384
0.9997000150005001  0.004190785493975894     0.0005208591100103921
1.                  0.004710379685721949     0.0007164494525993925
1.0003000149994998  0.005265231989536847     0.0009254001332579865
1.0006000599960005  0.0059298519185572085    0.0010963778982824258
1.000900134986503   0.006638816203182091     0.0013103079723035165
1.0012002399680096  0.007451085375691674     0.001507571906185447
#1.0015003749375233  0.008756047489380935     0.0013368418190544584
