# Baryon number density to 5/3 as a function of pressure, T=10MeV, mb=30GeV a=0.1fm, resummed
# nb^5/3                 nb_error                press                   press_error
3.7104755922190714e-13   7.759866952478049e-26   1.1602509714746487e-11  7.2539862311779185e-25
1.0084931938265983e-12   3.8450973786644646e-25  2.1140478476333363e-11  2.4136871780355925e-24
2.740755143328631e-12    1.914066856879296e-24   3.8518010316443774e-11  8.039161578249738e-24
7.44703661547482e-12     9.56912259404606e-24    7.017584791624153e-11   2.68833699079734e-23
2.0227572426243457e-11   4.8141265415732654e-23  1.278396534942653e-10   9.016268676828002e-23
5.4906740696780125e-11   2.4524612692490156e-22  2.32841258818933e-10    3.052296460320672e-22
1.4886806280381132e-10   1.2761328900161834e-21  4.2393797443213913e-10  1.048865016717239e-21
4.0277208313894167e-10   6.8797645521801e-21     7.713806612416217e-10   3.699048301760571e-21
1.0855692534914131e-9    3.9176928171736497e-20  1.4019595959059443e-9   1.3609395823181826e-20
2.905858996945903e-9     2.4070252721772435e-19  2.542740742755053e-9    5.3375483386209217e-20
7.684182410495023e-9     1.6142677808156101e-18  4.594748589916823e-9    2.278113309613917e-19
1.9893395782516742e-8    1.1612163271088865e-17  8.248951921894567e-9    1.0630081508306708e-18
4.969849095994195e-8     8.353092171709128e-17   1.4645819404339586e-8   5.239077449780159e-18
1.1734116791291778e-7    5.228011890766568e-16   2.553654837373945e-8    2.486610138708318e-17
2.553287971887527e-7     2.3424292756876546e-15  4.331803520952345e-8    9.855815970410942e-17
5.010268729207274e-7     6.351535953171797e-15   7.07634116067702e-8     2.8539934742231296e-16
8.804447621292404e-7     1.0873188831544858e-14  1.1046374849206551e-7   5.887883511553272e-16
1.4025508447132175e-6    1.518446805433575e-14   1.6439311525241376e-7   9.64224931825498e-16
2.0698095742604816e-6    1.449858714870308e-14   2.3394423737647444e-7   1.3459571113459158e-15
2.8800954599459383e-6    4.173303802551152e-15   3.201391483458502e-7    1.5556688636193653e-15
3.819265158013663e-6     1.2719068758827203e-14  4.2363447978166856e-7   1.498924908872938e-15
4.8629771796449565e-6    4.510457305096022e-14   5.446632155758935e-7    1.0251532822709206e-15
5.97817406435571e-6      5.160161899419582e-14   6.83040536072129e-7     2.3096132076077733e-16
7.1243927115891125e-6    9.88111841155638e-14    8.38156771461637e-7     6.620669978370892e-16
8.260865709296406e-6     2.820517697708653e-13   1.0090279225493952e-6   3.1606877725698975e-15
9.33542587516563e-6      2.0117800417359614e-13  1.1943118793443474e-6   6.758949589317814e-15
0.000010272506567742     2.566252179698634e-13   1.3921109698645384e-6   6.520341466867462e-15
0.000011005276896296074  4.3572604359787444e-13  1.5998903223872331e-6   1.9746411113636146e-15
0.000011518633280820193  2.2833942514024173e-13  1.814866746733618e-6    2.0064440221594614e-15
0.000011847643928830227  1.186347908473974e-14   2.034579781144139e-6    3.2493407819283743e-15
0.000012045818566838214  7.280585639576898e-14   2.257202053459985e-6    2.7991817339782874e-15
