# nb of mu/m for saturation plot, T=10 MeV, mb = 30 GeV
# mu    a = 0.12                 error                   a = 0.10                 error
0.996   1.894582165430807e-8     3.308722450212111e-24   2.459893093874228e-8     3.639594695233322e-23
0.9962  3.462437492194288e-8     1.3234889800848443e-23  4.495574867856632e-8     1.0587911840678754e-22
0.9964  6.32738971263997e-8      1.3234889800848443e-23  8.21539117693049e-8      3.705769144237564e-22
0.9966  1.1561654559967998e-7    0.                      1.5011489188852673e-7    1.2970192004831474e-21
0.9968  2.112171203499818e-7     2.6469779601696886e-23  2.7424112645086135e-7    4.446922973085077e-21
0.997   3.857276289590893e-7     2.117582368135751e-22   5.008216316214871e-7     1.514071393217062e-20
0.9972  7.039554158662106e-7     4.235164736271502e-22   9.139972140882956e-7     5.3151317440207346e-20
0.9974  1.2831774192719986e-6    1.4823076576950256e-21  1.6660235830211764e-6    1.9269999550035333e-19
0.9976  2.3338858400503655e-6    7.199780051661553e-21   3.0301491030811847e-6    7.403067959002585e-19
0.9978  4.228258657168411e-6     2.795208725939191e-20   5.489433679866469e-6     3.071341466744093e-18
0.998   7.606601730531892e-6     1.2790197503539935e-19  9.874705669134398e-6     1.3999760552219076e-17
0.9982  0.000013516871768291089  6.403569081242511e-19   0.000017545056583397468  6.920259179067634e-17
0.9984  0.000023524254997843262  3.2255014631443757e-18  0.000030528682311840365  3.4848968329115326e-16
0.9986  0.000039598820239308674  1.4521532847727725e-17  0.00005137512217045344   1.570622700907548e-15
0.9988  0.00006348719655196008   4.8612914908818805e-17  0.00008234028029097465   5.256578050442939e-15
0.999   0.00009562866092075306   1.0247065782703624e-16  0.00012398730360399575   1.1079543315792306e-14
0.9992  0.00013467899982440944   1.4121733296623695e-16  0.00017457617080463778   1.526795183337537e-14
0.9994  0.0001786289453704796    1.6420241902292965e-16  0.00023150678627028353   1.775465083113381e-14
0.9996  0.00022610919496334904   1.352000109089424e-16   0.0002930051564469031    1.461287688075963e-14
0.9998  0.00027611694483863704   3.4531839193663316e-17  0.0003577786192931477    3.7279207498741584e-15
1.      0.0003274131687496285    9.221139476989215e-17   0.00042423279998717115   9.960131677755335e-15
1.0002  0.00037871714872995553   2.975592862386467e-16   0.0004907171540547554    3.218302360719072e-14
1.0004  0.00042874892875442207   3.12196015567201e-16    0.000555584126749965     3.37553335977292e-14
1.0006  0.00047626689358702847   5.687724596858956e-16   0.0006172293706979287    6.152088387334498e-14
1.0008  0.0005202673134879103    1.5153893764829895e-15  0.0006743564966812029    1.6388214570117743e-13
1.001   0.0005593902233549166    9.755651148024569e-16   0.0007252278217951046    1.0543562550813235e-13
1.0012  0.0005916287380458352    1.3113425276212176e-15  0.000767253347102886     1.418348945236847e-13
1.0014  0.0006156205494976392    2.054021015773788e-15   0.0007986232689812692    2.221122591405944e-13
1.0016  0.0006317828323308237    1.0152469143154264e-15  0.0008198140912609282    1.0975432802179386e-13
1.0018  0.0006418529348791825    2.461138931542095e-17   0.0008330445745427178    2.6373217845709895e-15
1.002   0.0006478033223572874    3.3989738107420564e-16  0.0008408730894531138    3.678296816439497e-14
1.0022  0.0006512056511116664    3.4314998759166215e-16  0.0008453530231719555    3.710540989049216e-14
1.0024  0.0006531138142304991    2.456802122852153e-16   0.0008478667652425236    2.65637121674156e-14
1.0026  0.0006541722777538223    1.5384828827569308e-16  0.0008492615258813136    1.6631769746144887e-14
1.0028  0.0006547558074861416    9.031404096804252e-17   0.0008500305723776902    9.767468951704661e-15
1.003   0.0006550764118448665    5.117434254131581e-17   0.0008504531389351995    5.5508982826912856e-15
