% Value of the M-functions as a function of h1 for different overlappings
% h1   M_{(11)}^3               M_{(11)^2} M_{(11)}      M_{(11)^3}
0.350  0.5068744022310869       0.029477962691273674     0.00972763214318062
0.351  0.509048986577257        0.029358220668906976     0.009676573276461653
0.352  0.5112213054216534       0.029238322996953947     0.009624973290478345
0.353  0.5133913505712272       0.029118284141227024     0.009572850369763214
0.354  0.5155591141445439       0.028998118253899696     0.00952022254561255
0.355  0.5177245885643587       0.028877839176693954     0.009467107690964566
0.356  0.5198877665503141       0.028757460444136518     0.009413523515494543
0.357  0.5220486411117656       0.028636995286881184     0.009359487560926305
0.358  0.5242072055407305       0.028516456635092835     0.009305017196558768
0.359  0.5263634534049624       0.02839585712189041      0.009250129615003128
0.360  0.528517378541148        0.02827520908684089      0.00919484182812691
0.361  0.5306689750482287       0.028154524579505347     0.009139170663205354
0.362  0.5328182372808429       0.02803381536302907      0.009083132759272305
0.363  0.5349651598428907       0.027913092917774385     0.009026744563672584
0.364  0.5371097375812188       0.027792368444992777     0.008970022328809057
0.365  0.5392519655794252       0.027671652870530694     0.008912982109083145
0.366  0.5413918391517827       0.027550956848567676     0.008855639758023975
0.367  0.5435293538372807       0.02743029076538067      0.008798010925603117
0.368  0.5456645053937823       0.02730966474313734      0.008740111055735522
0.369  0.5477972897922998       0.027189088643706116     0.008681955383954859
0.37   0.5499277032113816       0.02706857207248836      0.00862355893526906
0.371  0.5520557420316154       0.026948124382264405     0.008564936522185457
0.372  0.5541814028302425       0.026827754677053894     0.008506102742908278
0.373  0.5563046823758826       0.026707471815983153     0.008447071979696241
0.374  0.5584255776233708       0.02658728441716307      0.008387858397387982
0.375  0.5605440857087014       0.02646720086156934      0.008328475942082442
0.376  0.5626602039440796       0.0263472292969254       0.00826893833997458
0.377  0.5647739298130798       0.026227377641585226     0.008209259096343513
0.378  0.5668852609659095       0.026107653588412272     0.008149451494686655
0.379  0.5689941952147751       0.025988064608653993     0.008089528595999401
0.38   0.5711007305293516       0.025868617955809248     0.008029503238194596
0.381  0.5732048650323522       0.025749320669485376     0.007969388035659497
0.382  0.5753065969951986       0.025630179579244183     0.007909195378945494
0.383  0.5774059248337883       0.02551120130843465      0.007848937434588421
0.384  0.5795028471043593       0.025392392278009546     0.0077886261450552385
0.385  0.5815973624994512       0.025273758710325167     0.007728273228812643
0.386  0.5836894698439585       0.025155306632921537     0.007667890180514558
0.387  0.5857791680912787       0.025037041882283118     0.007607488271309026
0.388  0.587866456319549        0.024918970107576377     0.007547078549253156
0.389  0.5899513337279767       0.024801096774361986     0.007486671839838144
0.39   0.5920337996332532       0.024683427168285532     0.007426278746622522
0.391  0.5941138534660603       0.024565966398737704     0.007365909651964153
0.392  0.596191494767657        0.024448719402488217     0.007305574717852481
0.393  0.5982667231865552       0.02433169094728982      0.007245283886836151
0.394  0.6003395384752745       0.024214885635452987     0.0071850468830439995
0.395  0.6024099404871808       0.02409830790738715      0.007124873213293026
0.396  0.6044779291734029       0.02398196204511044      0.007064772168283495
0.397  0.6065435045798302       0.023865852175725066     0.0070047528238765255
0.398  0.608606666844185        0.023749982274857195     0.006944824042449116
