# nb as a function of mu in the continuum, mb=30 GeV, T=10MeV, resummed action
# mu    nb                       nb_error
0.996   2.626016382306335e-7     1.0130334155361753e-6
0.9962  5.102727995423769e-7     1.7450792877872997e-6
0.9964  9.875920068964233e-7     2.99511315993088e-6
0.9966  1.9043891197787836e-6    5.118893948334077e-6
0.9968  3.6592756919040254e-6    8.705395818182923e-6
0.997   7.005726263920952e-6     0.000014717287770223171
0.9972  0.000013357698826462285  0.00002470079745081244
0.9974  0.000025338379102248214  0.00004107850982369649
0.9976  0.00004772221805240822   0.00006750821173833576
0.9978  0.0000889168426451081    0.00010919961813520473
0.998   0.000162888453752083     0.00017285979443016757
0.9982  0.0002905429004010947    0.00026548867598676784
0.9984  0.0004978413564778069    0.00039058544046670704
0.9986  0.0008075117799600268    0.0005404411971575575
0.9988  0.0012276903411522141    0.0006883873465967201
0.999   0.0017495082965106991    0.0007974456981121832
0.9992  0.0023535894159218353    0.0009086058625375132
0.9994  0.0030102301735463136    0.0009891373619789327
0.9996  0.003684609095659392     0.001074049622003311
0.9998  0.004369167314077833     0.0011803313153339531
1.      0.005089132590625463     0.0012955783856699217
1.0002  0.005859404498384957     0.0014088280619822201
1.0004  0.006711867286599005     0.0014848856392537999
1.0006  0.0076554464410817       0.0015268595011802897
1.0008  0.008702482224691457     0.001756552392
1.001   0.009929773553382527     0.0020081522999999997
1.0012  0.011338200412879862     0.0022826551019999998
1.0014  0.012905815647773156     0.002581056576
1.0016  0.014595149636620723     0.0029043525
1.0018  0.01615785914527223      0.003253538652
1.002   0.01742617777438058      0.004358293532615111
