# baryon number density as a function of h2 with the pade approximants, h1 = 0.8, nt = 50, beta = 0
# h2      [[0/1]]             [[1/1]]             [[2/1]]             [[2/2]]
0.        1.6524682195552316  1.6524682195552316  1.6524682195552316  1.6524682195552316
0.0002    1.6501785460276275  1.6501791586118402  1.6501791608635208  1.6501791608615914
0.0004    1.6478949695230654  1.6478974124480192  1.6478974304128482  1.6478974303821374
0.000601  1.6456174663635255  1.6456229463413798  1.6456230068092612  1.6456230066542965
0.0008    1.643346012991047   1.6433557257868094  1.6433558687322893  1.6433558682440446
0.001     1.6410805859669795  1.6410957164947972  1.6410959949347141  1.6410959937463663
0.001201  1.6388211619712394  1.638842884389771   1.6388433642423355  1.6388433617857054
0.0014    1.6365677178015727  1.6365971956084524  1.6365979555537433  1.6365979510164064
0.0016    1.634320230372823   1.634358616498224   1.6343597478400869  1.6343597401231524
0.001802  1.6320786767162048  1.6321271136155149  1.6321287201448418  1.6321287078213933
0.002     1.629843033978581   1.6299026537241972  1.6299048515835821  1.6299048328577597
0.0022    1.627613279421749   1.6276852037939995  1.6276881213437453  1.627688094010483
0.002402  1.6253893904217267  1.6254747309989332  1.6254785086844055  1.6254784700897953
0.002603  1.6231713444680498  1.6232712027157365  1.623275992936039   1.6232759399383303
0.0028    1.62095911916307    1.6210745865223242  1.6210805535002955  1.6210804824315084
0.003     1.6187526922212592  1.6188848501962625  1.6188921698497645  1.618892076477925
0.0032    1.6165520414685197  1.616701961713249   1.6167108215277477  1.616710701019724
0.003402  1.6143571448415     1.6145258892456091  1.6145364881480253  1.6145363350329653
0.003603  1.6121679803869118  1.6123566011608077  1.6123691493946257  1.6123689575279911
0.0038    1.6099845262608574  1.610194066019971   1.610208785021595   1.6102085475497767
0.004     1.607806760728158   1.6080382525764239  1.6080553748527677  1.608055084178281
0.00421   1.6056346621616886  1.6058891297742388  1.6059088987815326  1.6059085465287872
0.0044    1.603468209041716   1.6037466667467992  1.603769336770606   1.6037689137522402
0.0046    1.6013073799552453  1.6016108328153758  1.6016366688517982  1.6016361650355722
0.004804  1.5991521535953659  1.5994815974877103  1.599510875125787   1.5995102796020264
0.005     1.5970025087606072  1.5973589304566231  1.5973919357618833  1.597391236711473
0.00521   1.5948584243542965  1.5952428015986193  1.5952798309978047  1.5952790156607206
0.0054    1.5927198793839203  1.5931331809725173  1.5931745411394438  1.5931735957838162
0.0056    1.5905868529604918  1.5910300388180876  1.5910760465606402  1.5910749564523443
0.005805  1.5884593242979266  1.5889333455546981  1.5889843277029518  1.5889830770757207
0.006     1.5863372727124132  1.5868430717799806  1.5868993650754213  1.5868979371014729
0.00621   1.584220677621799   1.5847591882685     1.5848211392543528  1.5848195160155243
0.0064    1.5821095185449732  1.58268166597044    1.582749630883081   1.5827477933424654
0.0066    1.5800037751012557  1.580610476010302   1.5806848206717437  1.580682748645825
0.006805  1.5779034270097947  1.57854558968561    1.5786266893970504  1.578624361528328
0.007     1.5758084540889616  1.5764869784656312  1.57657521790206    1.5765726116321561
0.00721   1.5737188362557561  1.574434613990106   1.5745303870959502  1.5745274786391992
0.0074    1.5716345535252119  1.5723884680679912  1.5724921779537895  1.5724889422712995
0.0076    1.5695555860098076  1.5703485126762096  1.5704605715163125  1.570456982290493
0.007805  1.567481913918885   1.568314719958415   1.568435548889692   1.5684315784992453
0.008     1.565413517558064   1.5662870622237686  1.566417091245314   1.5664127107406824
0.0082    1.5633503773286714  1.564265511945718   1.5644051798195502  1.5644003588988142
0.00841   1.5612924737271645  1.5622500417608003  1.5623997959135343  1.562394502898756
0.0086    1.5592397873445658  1.560240624467441   1.560400920892934   1.5603951227069415
0.0088    1.5571922988658966  1.558237233024774   1.5584085361877316  1.5584021983313365
0.00901   1.5551499890696183  1.5562398405514684  1.5564226232919922  1.5564157098216393
0.0092    1.5531128388270776  1.5542484203245621  1.5544431637636467  1.5544356372694854
0.0094    1.5510808291019496  1.5522629457783124  1.5524701392242624  1.5524619608086416
0.00961   1.5490539409496948  1.550283390503049   1.5505035313588238  1.5504946606151961
0.0098    1.547032155517011   1.5483097282440421  1.5485433219155076  1.5485337169077433
0.01      1.5450154540412941  1.5463419329003802  1.5465894927054613  1.546579109947571
0.0102    1.5430038178501007  1.5443799785238523  1.5446420256025792  1.5446308200388326
0.01041   1.540997228360615   1.5424238393178469  1.5427009025432845  1.5426888275287216
0.0106    1.53899566707912    1.5404734896362546  1.5407661055263047  1.540753112807641
0.0108    1.5369991156004716  1.538528903982382   1.5388376166124509  1.5388236563093645
0.01101   1.5350075556075748  1.5365900570078783  1.5369154179243996  1.5369004385112008
0.0112    1.5330209688708685  1.5346569235116647  1.5349994916464722  1.534983439934144
0.0114    1.5310393372478086  1.5327294784388785  1.533089820024414   1.5330726411430287
0.01161   1.5290626426823577  1.530807696879822   1.5311863853651775  1.5311680227466768
0.0118    1.5270908672044756  1.5288915540689234  1.529289170036701   1.52926956539804
0.012     1.5251239929296192  1.5269810253837062  1.5273981564676946  1.527377249794339
0.0122    1.5231620020582375  1.5250760863437631  1.5255133271474188  1.5254910566771998
0.01241   1.5212048768752773  1.5231767126097477  1.5236346646254697  1.5236109668327837
0.0126    1.5192525997496893  1.521282879982363   1.5217621515115616  1.5217369610919174
0.0128    1.5173051531339357  1.5193945644013687  1.5198957704753104  1.5198690203302134
0.01301   1.5153625195635068  1.517511741944591   1.5180355042460205  1.5180071254681942
0.0132    1.513424681656435   1.515634388826941   1.5161813356124663  1.5161512574714036
0.0134    1.5114916221128136  1.5137624813994481  1.5143332474226787  1.514301397350526
0.01361   1.5095633237143251  1.5118959961482885  1.512491222583733   1.5124575261614899
0.01382   1.5076397693237615  1.5100349096938346  1.5106552440615348  1.5106196250055768
0.014     1.5057209418845574  1.5081791987897086  1.5088252948806036  1.508787675029522
0.0142    1.5038068244203222  1.506328840321837   1.5070013581238642  1.5069616574256126
0.01441   1.501897400034377   1.5044838113075243  1.5051834169324334  1.505141553431788
0.0146    1.499992651909292   1.502644088894525   1.5033714545054082  1.5033273443317228
0.0148    1.4980925633064317  1.5008096503601305  1.5015654540996546  1.501519011454925
0.01501   1.4961971175654978  1.498980473110258   1.4997653990295992  1.4997165361768157
0.0152    1.4943062981040791  1.49715653467855    1.4979712726670176  1.4979198999188128
0.0154    1.4924200884172039  1.4953378127254808  1.496183058440825   1.4961290841484107
0.01561   1.490538472076894   1.49352428503747    1.4944007398368682  1.4943440703792552
0.0158    1.4886614327317225  1.4917159295260038  1.4926243003977175  1.4925648401712182
0.016     1.4867889541063752  1.4899127242267627  1.4908537237224593  1.4907913751304651
0.0162    1.4849210200012148  1.4881146472987576  1.4890889934664877  1.4890236569095248
0.0164    1.483057614291846   1.486321677023473   1.4873300933412996  1.4872616672073504
0.0166    1.4811987209286879  1.4845337918040156  1.4855770071142882  1.485505387769383
0.01682   1.479344323936544   1.4827509701642712  1.4838297186085367  1.483754800387608
0.017     1.4774944074141803  1.4809731907480699  1.4820882117026164  1.48200988690061
