# baryon number density as a function of pion mass, computed at a = 0.1 fm and T = 10 MeV
# mpi  nb @ k4                 nb_error @ k4            nb @ k6                  nb_error @ k6            nb @ k8              nb_error @ k8
10.    0.005744705808293309    0.0066655306917335145    -0.0031753367421458014   0.00892004255043911      0.006835919124099014    0.010011255866244816
10.25  0.00433341870205082     0.004776224993059796     -0.0013483917143063055   0.005681810416357125     0.004370568344104289    0.005718960058410594
10.5   0.003342499998694857    0.003421551145832982     -0.00027476222434834135  0.003617262223043198     0.0029885363456262346   0.0032632985699745758
10.75  0.0026449863465307553   0.0024509192404096993    0.0003430206770010958    0.0023019656695296596    0.002202746809256257    0.0018597261322551612
11.    0.0021514274336051215   0.0017557677513694962    0.0006869145401866144    0.001464512893418507     0.001745383726084829    0.0010584691858982146
11.25  0.001799117943355773    0.0012580241959185157    0.0008675590185884741    0.000931558924767299     0.001469234098460113    0.0006016750798716388
11.5   0.0015443116172358174   0.0009016455840104453    0.0009518034903719642    0.0005925081268638532    0.001293422225910511    0.00034161873553854687
11.75  0.0013566333063053967   0.0006464570417358037    0.0009797685744601136    0.00037686473184528313   0.0011735332112369971   0.00019376463677688353
12.    0.0012150933197103188   0.0004636867480467125    0.0009753645851711267    0.0002397287345391921    0.001085171001345593    0.00010980641617446625
12.25  0.0011052597597772324   0.00033274269530123317   0.0009527386871424306    0.0001525210726348018    0.0010149219356796414   0.00006218324853721083
12.5   0.0010172619034427021   0.00023889285242079204   0.0009202015467838482    0.00009706035665885398   0.0009553968617916883   0.00003519531500784014
12.75  0.0009443865354079071   0.00017159934861123085   0.0008826021705359628    0.00006178436487194435   0.0009025150268614145   0.000019912856325451705
13.    0.0008820952515548057   0.00012332435641165666   0.0008427531405478196    0.00003934211100698609   0.0008540169945518701   0.000011263854004050491
13.25  0.0008273393251355116   0.00008867518969541159   0.0008022786837130981    0.00002506064142241348   0.0008086496755102466   6.37099179714854e-6
13.5   0.0007780840673107703   0.00006379279991225678   0.0007621145878958317    0.000015969479414938638  0.0007657182876090736   3.6036997132419092e-6
13.75  0.0007329801249412876   0.00004591462663780326   0.0007227998925164079    0.000010180232424879731  0.000724838618290692    2.0387257742840925e-6
14.    0.0006911374598721193   0.000033062191289001935  0.0006846452402473658    6.492219624753474e-6     0.0006857988966179324   1.1536563705665621e-6
14.25  0.0006519708150278213   0.00002381786329478362   0.0006478289718492636    4.141843178557614e-6     0.0006484819995168924   6.530276676288034e-7
14.5   0.00061509475326088     0.0000171653362224123    0.0006124514207257834    2.6433325350966623e-6    0.0006128212023082115   3.6978158242807323e-7
14.75  0.0005802529244820118   0.000012375608574180324  0.0005785653727884131    1.6875516935987902e-6    0.0005787748466385158   2.0947385010274856e-7
15.    0.0005472708516062048   8.925463352397046e-6     0.0005461931565698053    1.0776950363994633e-6    0.0005463118669806133   1.1871041080799456e-7
15.25  0.0005160247860287226   6.439159707169917e-6     0.0005153363686697885    6.884173589340788e-7     0.00051540366905939     6.730038960151008e-8
15.5   0.0004864214699114972   4.646707390408697e-6     0.00048598161845821896   4.39851453278245e-7      0.0004860197868327539   3.8168374534965424e-8
15.75  0.00045838524175151167  3.353992007705574e-6     0.00045810415684091106   2.81084910600611e-7      0.0004581258103080511   2.1653467140050984e-8
16.    0.0004318500369341317   2.421372973856453e-6     0.00043167038849262966   1.796484415020447e-7     0.000431682675973492    1.2287480862329704e-8
16.25  0.0004067546103336334   1.7483420212018714e-6    0.00040663978455900455   1.1482577462885828e-7    0.00040664675849863514  6.973939630590311e-9
16.5   0.00038303984528261425  1.262519234546827e-6     0.0003829664514343166    7.339384829762761e-8     0.00038297040999151746  3.958557200838073e-9
16.75  0.00036064738408823525  9.117552873556941e-7     0.00036060047492716035   4.690916107489467e-8     0.0003606027219042444   2.246977084052141e-9
17.    0.00033951907015995775  6.584594837593153e-7     0.0003394890919207975    2.9978239160218054e-8    0.00033949036724279587  1.2753219983427204e-9
17.25  0.00031959686605247394  4.7552376564142466e-7    0.00031957771126455515   1.915478791878443e-8     0.00031957843495837     7.236938148356617e-10
17.5   0.000300823030118242    3.4339181686181275e-7    0.0003008107940033515    1.2236114890523848e-8    0.0003008112045444137   4.105410621917452e-10
17.75  0.0002831404142579549   2.479503061484831e-7     0.0002831326001928217    7.814065133176281e-9     0.00028313283298982107  2.3279699934257436e-10
18.    0.0002664927985273378   1.7901077931288013e-7    0.00026648781025167347   4.988275664329512e-9     0.00026648794218957325  1.319378997873509e-10
18.25  0.0002508252134702939   1.2921616284936434e-7    0.00025082203046757567   3.183002718224002e-9     0.0002508221051960704   7.472849471385282e-11
18.5   0.00023608422382984787  9.325270629152141e-8     0.0002360821937614722    2.0300683756637253e-9    0.00023608223605575652  4.229428431285799e-11
18.75  0.00022221816171023919  6.728177032191648e-8     0.00022221686767450287   1.2940357363129887e-9    0.00022221689159178918  2.3917286310097194e-11
19.    0.00020917730613438543  4.85299447976499e-8      0.0002091764817690285    8.243653569289192e-10    0.00020917649528150555  1.3512477053077843e-11
19.25  0.0001969140111197431   3.499325642423198e-8     0.00019691348630243848   5.248173046319693e-10    0.0001969134939286939   7.626255421437633e-12
19.5   0.0001853827871815731   2.522362986534521e-8     0.00018538245330196708   3.3387960601013837e-10   0.00018538245760133011  4.299363030304745e-12
19.75  0.00017454034244037664  1.8174678418335106e-8    0.00017454013019182864   2.122485480014931e-10    0.0001745401326127415   2.420912862538538e-12
20.    0.00016434558982691196  1.309030822944251e-8     0.00016434545500705673   1.3481985523095506e-10   0.00016434545636851802  1.3614612909274015e-12
