# baryon number density as a function of pion mass, computed at a = 0.2 fm and T = 20 MeV
# mpi  nb @ k4                 nb_error @ k4            nb @ k6                  nb_error @ k6            nb @ k8              nb_error @ k8
4.                  0.007820790508387689    0.00731837452902272      0.003755702918885171    0.004065087589502518     0.0036205998059484217   0.0001351031129367495
4.15                0.006276568603607696    0.004958179847659198     0.0038985295189305005   0.002378039084677195     0.0038159582041042517   0.00008257131482624887
4.3                 0.00523471652630884     0.0033590660479642367    0.0038417492253714648   0.001392967300937375     0.0037972312392591592   0.00004451798611230552
4.45                0.004515368319086817    0.0022763329350196588    0.0036984324006491195   0.0008169359184376978    0.0036763063115343468   0.00002212608911477277
4.6000000000000005  0.004002082313733176    0.0015434052515315064    0.0035224333183978772   0.00047964899533529904   0.003512140478646885    0.00001029283975099212
4.75                0.0036201901109535915   0.0010472151362416813    0.003338272220845879    0.0002819178901077124    0.003333790807441762    4.481413404117118e-6
4.9                 0.00332227295059053     0.0007111660945088665    0.00315640183765189     0.00016587111293863994   0.003154604255381704    1.7975822701860565e-6
5.05                0.003078522154208891    0.0004834353932088348    0.0029808295710498033   0.00009769258315908778   0.0029801960547305344   6.335163192689071e-7
5.2                 0.002870400425648664    0.0003289873291999119    0.002812804113357725    0.000057596312290938805  0.002812637395005137    1.667183525881459e-7
5.3500000000000005  0.002686509732102072    0.0002241425058564601    0.0026525180036927175   0.000033991728409354244  0.0026525167081040972   1.295588620327942e-9
5.5                 0.002519920763405631    0.00015289600820991628   0.0024998389714372678   0.000020081791968363204  0.00249988228355136     4.331211409230179e-8
5.65                0.0023664625988491493   0.00010442642969868757   0.0023545861104123053   0.000011876488436843996  0.002354631008877667    4.489846536183048e-8
5.8                 0.002223638319801181    0.00007141290002420477   0.002216607024675624    7.03129512555703e-6      0.0022166416636681886   3.4638992564475085e-8
5.95                0.002089945497497216    0.00004889895581515176   0.0020857782570131707   4.167240484045237e-6     0.002085801939477675    2.3682464504216905e-8
6.1000000000000005  0.001964456401786384    0.00003352585618936004   0.00196198393427217     2.472467514213865e-6     0.0019619990889356287   1.515466345860042e-8
6.25                0.0018465632800052634   0.000023015211388846026  0.0018450947506617361   1.4685293435272567e-6    0.0018451040520129367   9.301351200537156e-9
6.4                 0.0017358274162965223   0.000015819750323916746  0.001734954235440024    8.731808564983734e-7     0.0017349597833922785   5.54795225450426e-9
