# binding energy as a function of mu_b / m_b with the pade approximants, kappa = 0.08, nt = 50, beta = 0
# h2     [[0/1]]                   [[1/1]]                   [[2/1]]                   [[2/2]]
0.9525  -1.2865580777044457e-7    -5.6275069355394343e-8    -3.504415378519474e-8     -3.5592427833780295e-8
0.9525  -1.3223930418643702e-7    -5.78424828126884e-8      -3.6020255599062476e-8    -3.6583778090089684e-8
0.9526  -1.359226101794428e-7     -5.945355071150809e-8     -3.7023544604207105e-8    -3.7602738955736357e-8
0.9527  -1.3970850554230533e-7    -6.110948875547901e-8     -3.8054778002873157e-8    -3.865007935522353e-8
0.9528  -1.4359984747874254e-7    -6.281154649304176e-8     -3.911473408831641e-8     -3.972658962128555e-8
0.9529  -1.475995727585192e-7     -6.45610082676819e-8      -4.0204212823755246e-8    -4.0833082090601535e-8
0.953   -1.5171069993265723e-7    -6.635919417568216e-8     -4.132403645226312e-8     -4.1970391720220005e-8
0.9531  -1.5593633161024199e-7    -6.820746107164341e-8     -4.24750501159745e-8      -4.3139376712588305e-8
0.9532  -1.602796567985826e-7     -7.010720358087943e-8     -4.365812248971305e-8     -4.434091916546544e-8
0.9533  -1.6474395330853972e-7    -7.20598551605724e-8      -4.4874146441924156e-8    -4.557592573489153e-8
0.9534  -1.6933259022670114e-7    -7.406688917349428e-8     -4.61240397038875e-8      -4.684532831993067e-8
0.9535  -1.740490304564243e-7     -7.612982000057871e-8     -4.740874556407256e-8     -4.815008476508062e-8
0.9536  -1.7889683332952993e-7    -7.825020418378998e-8     -4.872923357963377e-8     -4.949117958192202e-8
0.9537  -1.838796572906262e-7     -8.042964159565518e-8     -5.008650030581649e-8     -5.086962468938084e-8
0.9538  -1.8900126265622717e-7    -8.266977664752752e-8     -5.148157005002832e-8     -5.2286460182147914e-8
0.9539  -1.9426551445051852e-7    -8.497229952966284e-8     -5.291549564355561e-8     -5.3742755106785673e-8
0.954   -1.9967638532004e-7       -8.733894748168529e-8     -5.438935923498186e-8     -5.523960827311789e-8
0.9541  -2.05237958529509e-7      -8.977150610328521e-8     -5.590427310688245e-8     -5.6778149079609614e-8
0.9542  -2.1095443104088027e-7    -9.227181070074154e-8     -5.746138051535711e-8     -5.8359538367292444e-8
0.9543  -2.1683011667815624e-7    -9.484174766762408e-8     -5.9061856551145595e-8    -5.998496928995644e-8
0.9544  -2.2286944938015884e-7    -9.748325590762263e-8     -6.070690902601469e-8     -6.165566821777506e-8
0.9545  -2.290769865437721e-7     -1.0019832829229778e-7    -6.239777938419556e-8     -6.337289565754851e-8
0.9546  -2.3545741246024525e-7    -1.0298901316648293e-7    -6.413574363972262e-8     -6.51379472076216e-8
0.9547  -2.420155418469636e-7     -1.058574158889211e-7     -6.592211333479147e-8     -6.695215452605093e-8
0.9548  -2.487563234775107e-7     -1.0880570041841518e-7    -6.775823653260334e-8     -6.881688634119955e-8
0.9549  -2.5568484391269003e-7    -1.1183609094215995e-7    -6.964549883304431e-8     -7.07335494804226e-8
0.955   -2.628063313352115e-7     -1.1495087355338966e-7    -7.158532441624304e-8     -7.270358992610548e-8
0.9551  -2.70126159491131e-7      -1.1815239797074217e-7    -7.357917711815009e-8     -7.472849391140906e-8
0.9552  -2.7764985174079637e-7    -1.2144307931085578e-7    -7.56285615318097e-8      -7.680978903584448e-8
0.9553  -2.8538308522242895e-7    -1.2482539990091557e-7    -7.77350241451134e-8      -7.894904541422703e-8
0.9554  -2.93331695131543e-7      -1.283019111559886e-7     -7.990015450417138e-8     -8.114787686410615e-8
