# Nearest neighbour coupling computed at varying values of a
# a [fm]              h2 @ mb=30GeV            h2 @ mb=20GeV           h2 @ mb=40GeV
0.17015923896624235   3.0336861647242284e-7    0.00009611056812678565  9.575272310084905e-10
0.16627060930915438   4.6074804480867865e-7    0.00012796974045436177  1.6588035522976238e-9
0.16250887310825868   6.906529417832659e-7     0.00016889252699024652  2.8240823890898943e-9
0.1588689964357191    1.0223105569931657e-6    0.0002210188922938411   4.72819564075579e-9
0.1553461715059461    1.495015054630024e-6     0.00028688398820260014  7.78991961973029e-9
0.15193580535112336   2.1609846554550063e-6    0.00036946808885953965  1.2637499198788936e-8
0.1486335091156702    3.088843086216007e-6     0.00047224893244105165  2.0199429177529482e-8
0.14543508793320067   4.367814176489257e-6     0.0005992560377753616   3.182838509209105e-8
0.14233653135183877   6.112720885622257e-6     0.000755126502523521    4.946802613459012e-8
0.13933400427588138   8.469881025013342e-6     0.0009451617356222775   7.587446462205373e-8
0.136423838393805     0.000011623990718424464  0.0011753845315443064   1.1490649650854657e-7
0.13360252406446751   0.000015806083299801326  0.0014525958586226071   1.7190119255308192e-7
0.1308667026351054    0.000021302645948623763  0.0017844307089388454   2.5415412268510524e-7
0.12821315916634585   0.000028465968461041382  0.0021794123434265974   3.7152628317033e-7
0.12563881554098463   0.00003772578880412678   0.002647004263341539    5.372026487318807e-7
0.12314072393469205   0.00004960228815813552   0.0031976592473871067   7.686301667293487e-7
0.12071606062814562   0.00006472047452214187   0.003842864813022678    1.0886656567202702e-6
0.1183621201413265    0.00008382597881435252   0.004595184489571994    1.5269669621732466e-6
0.11607630967188713   0.00010780227109459367   0.0054682943294234055   2.1216627596512756e-6
0.11385614382057865   0.000137689287465756     0.006477014130874189    2.921338757924702e-6
0.11169923958775224   0.0001747034405994104    0.007637332901119069    3.987379577239486e-6
0.1096033116258974    0.0002202589696055503    0.008966428149514398    5.396706853822938e-6
0.10756616773408073   0.0002759905675121635    0.010482678668502223    7.244954838084505e-6
0.1055857045809794    0.0003437772086191066    0.012205670531382875    9.650124924053585e-6
0.10365990364399374   0.0004257670826566671    0.014156196111379627    0.000012756760156898058
0.10178682735265347   0.0005244035290006122    0.01635624600407431     0.000016740679768205008
0.09996461542522792   0.0006424518521781601    0.01882899381422445     0.00002181431229328795
0.0981914813880917    0.0007830268898178924    0.02159877384717919     0.000028232663683119133
0.09646570926800771   0.0009496211962036022    0.02469105182356616     0.000036299954297871945
0.09478565044805412   0.0011461336987909983    0.028132388812670158    0.00004637695563426238
0.09314972067846226   0.0013768986814828696    0.0319503986540196      0.00005888905427543948
0.09155639723412728   0.0016467149471286321    0.03617369920728926     0.00007433506690312797
0.09000421621102822   0.0019608750125610598    0.04083185783686333     0.00009329682637788966
0.08849176995423497   0.002325194192418298     0.04595533159853772     0.00011644955497055045
0.08701770461059291   0.0027460394328205294    0.0515754026511788      0.0001445730369146588
0.08558071779957101   0.003230357762733311     0.05772410946503979     0.00017856359867448018
0.08417955639611957   0.0037857042389053495    0.06443417444039201     0.00021944690157410805
0.08281301441973438   0.00442026927001842      0.07173892858461224     0.0002683915484690787
0.08147993102424224   0.005142905216359836     0.07967223392264267     0.0003267235027176347
0.08017918858313368   0.005963152173028545     0.08826840433427768     0.00039594131562142274
0.07890971086555022   0.00689126285706323      0.09756212552263697     0.00047773215628436444
0.07767046129830651   0.007938226531738205     0.10758837481992765     0.0005739886364446746
0.07646044130957866   0.009115791914401568     0.11838234153134206     0.0006868264219459542
0.07527868875013272   0.010436489027423924     0.12997934850391618     0.0008186026222300358
0.07412427638818833   0.011913649964910568     0.14241477558601132     0.0009719349495565422
0.07299631047422754   0.013561428560629408     0.15572398561461334     0.001149721640575918
0.07189392937225486   0.01539481895498304      0.16994225353264353     0.0013551621343888742
0.07081630225420701   0.017429673070662934     0.18510469919742714     0.0015917785032870866
0.06976262785438392   0.019682717017776023     0.20124622439525539     0.0018634376349534738
0.0687321332809411    0.022171566459622722     0.21840145452624934     0.002174374167959727
0.06772407288164212   0.024914740979862633     0.23660468536938215     0.0025292141858831983
0.06673772716121462   0.027931677500488365     0.2558898352805011      0.0029329996792203665
0.06577240174779808   0.03124274280777432      0.2762904031172012      0.00339121378845551
0.06482742640609973   0.03486924525018607      0.29783943212458786     0.0039098068459394435
0.06390215409499998   0.038833445678099814     0.32056947995603846     0.004495223239116852
0.06299596006746926   0.043158567700083646     0.34451259494384634     0.005154429121912517
0.062108241010764634  0.0478688073344925       0.36970029867711535     0.005894941006230526
0.06123841422498277   0.05298934213819356      0.3961635748889078      0.006724855270048251
0.06038591683814292   0.05854633989645283      0.4239328646023476      0.007652878623314545
0.0595502050560666    0.06456696695939673      0.4530380674365356      0.008688359577376835
0.058730753445411295  0.07107939631104156      0.48350854892826944     0.009841320967985507
0.0579270542482948    0.07811281545677713      0.515373153685219       0.011122493586000266
0.057138616727029655  0.08569743421436121      0.5486602241502947      0.012543350973682556
0.056364966537557855  0.0938644924920854       0.5833976247261874      0.014116145447870793
0.055605645130249244  0.10264626813578864      0.619612770982975       0.01585394541432883
0.05486020917679135   0.11207608492395453      0.65733266365081        0.017770674040110634
0.054128230021962764  0.12218832078727357      0.6965839270835514      0.01988114935283059
0.05340929315913939   0.13301841632562308      0.7373928518680061      0.02220112583724878
0.052702997728442405  0.1446028836924772       0.7797854412465125      0.024747337600508065
0.052008956036486836  0.1569793159120654       0.8237874610182833      0.027537543177687297
0.0513267930967412    0.17018639669160016      0.8694244925864042      0.030590572049002538
0.0506561461895563    0.18426391078634516      0.9167219888225592      0.03392637293896984
0.049996664440966766  0.199252754971398        0.9657053324299721      0.0375660639661013
0.04934800841940976   0.21519494967004252      1.0163998964966043      0.0415319847092249
0.04870984974954789   0.2321336512845164       1.0688311069444112      0.045847750253233344
0.048081870742420464  0.2501131652712281       1.1230245065965738      0.0505383072729823
0.04746376404118241   0.2691789599988517       1.1790058206026715      0.05562999220914149
0.04685523228172702   0.28937768142423836      1.236801022980736       0.061150591583987585
0.046255987767519206  0.3107571686180086       1.2964364040557461      0.06712940449846222
0.045665752157996356  0.33336647016889964      1.3579386385952712      0.0735973073442359
0.04508425616992553   0.35725586149342314      1.4213348544643971      0.08058682075598525
0.04451123929113052   0.38247686307545475      1.4866527016441695      0.08813217881968603
0.04394644950603046   0.40908225965871137      1.553920421479461       0.09626940054232935
0.04338964303245613   0.4371261204139708       1.6231669160437938      0.10503636357717692
0.042840584069232364  0.46666382010232205      1.6944218175300636      0.1144728801864814
0.04229904455403996   0.49775206125554455      1.7677155575964922      0.12462077541045767
0.041764803931089375  0.5304488973952383       1.8430794366174152      0.13552396739737352
0.04123764892815963   0.5648137573133449       1.9205456928077256      0.14722854983485845
0.040717373342574865  0.6009074704382871       2.000147571208261       0.15978287640707778
0.04020377783570996   0.6387922933130779       2.0819193925369195      0.17323764718599138
0.03969666973563183   0.6785319372147125       2.165896621927276       0.1876459968489957
0.03919586284750244   0.7201915969472937       2.2521159375918813      0.20306358459687546
0.038701177271382024  0.7638379808455917       2.3406152994628076      0.2195486856297491
0.03821243922708851   0.8095393420301177       2.4314340178756138      0.23716228402043535
0.037729480885781715  0.8573655109600755       2.524612822376398       0.2559681668074285
0.03725214020795494   0.9073879293362856       2.62019393074388        0.2760330191124205
0.03678026078752902   0.9596796854125339       2.71822111833017        0.2974265200706383
0.03631369170175705   1.0143155507805781       2.818739787834692       0.32022143934634545
0.03585228736665802   1.0713720187016664       2.92179703963634        0.3444937339910993
0.03539590739771076   1.1309273440650927       3.0274417428182727      0.37032264538886256
0.03494441647554835   1.1930615850630135       3.135724607029433       0.39779079602045825
