# Baryon mass and effective baryon mass computed at different kappa
# kappa  mb                  mb_eff
#0.0525   6.7892479465404385  6.783504076576973
#0.0535   6.73205356037785    6.726022135330333
#0.054    6.675925433532873   6.66959822494766
#0.055    6.620824325715793   6.614193051637389
0.056    6.566713115862005   6.559769442379403
#0.057    6.513556652068958   6.506292194817026
#0.058    6.46132161458378    6.453727940199755
#0.0594   6.409976390502809   6.402045018037428
#0.0605   6.3594909590017785  6.35121336128878
0.061    6.309836786052115   6.301204391036895
#0.062    6.260986727697712   6.251990919724612
#0.063    6.212914941070247   6.203547062130063
#0.064    6.165596802411714   6.155848153353151
#0.065    6.1190088314522315  6.108870673153145
0.066    6.073128621560886   6.062592176065577
#0.067    6.027934775148647   6.016991226768692
#0.068    5.983406843856424   5.972047340236758
#0.069    5.939525273109095   5.927740926260634
#0.07     5.896271350658498   5.884053237957493
0.071    5.853627158775878   5.840966323931574
#0.072    5.811575529787484   5.798462983778012
#0.073    5.7701000046766024  5.75652672665379
#0.074    5.729184794501679   5.715141732666813
#0.075    5.688814744403684   5.6742928168527715
0.076    5.648975299996939   5.633965395538067
#0.077    5.609652475956422   5.594145454898307
#0.078    5.570832826631498   5.554819521545465
#0.079    5.532503418531141   5.515974634985584
#0.08     5.494651804539411   5.477598321807603
0.081    5.45726599973217    5.439678571475413
#0.082    5.420334458677167   5.402203813601972
#0.083    5.383846054109567   5.365162896600017
#0.084    5.3477900568840955  5.328545067610753
#0.085    5.312156117113119   5.292339953617451
0.086    5.276934246407431   5.256537543663988
#0.087    5.242114801143239   5.221128172098537
#0.088    5.207688466684969   5.186102502774018
#0.089    5.173646242499078   5.151451514140733
#0.09     5.1399794280991244  5.1171664851700385
0.091    5.1066796097669735  5.083238982054248
#0.092    5.073738647999235   5.04966084563318
#0.093    5.041148665631872   5.016424179498515
#0.094    5.008902036599461   4.983521338733554
#0.095    4.976991375288783   4.950944919247661
0.096    4.945409526449406   4.9186877476680815
#0.097    4.914149555626605   4.886742871754576
#0.098    4.8832047400844845  4.855103551304567
#0.099    4.852568560189394   4.823763249518817
