# Baryon number density / mb^3 in the continuum limit for Z2 with extrapolation error bars
# mu/mb  nb_val                   nb_error
0.996    6.031220215600526e-7     1.6140714624670844e-7
0.9962   1.0908020523461805e-6    2.8448998500769686e-7
0.9964   1.9724261570944216e-6    5.007329295240363e-7
0.9966   3.565541903962144e-6     8.79907064372911e-7
0.9968   6.442295652663148e-6     1.5431090548862308e-6
0.997    0.000011630593824284604  2.6990938102494253e-6
0.9972   0.000020967598855863022  4.703740380821222e-6
0.9974   0.00003770616247403605   8.152148519414302e-6
0.9976   0.00006750830692128318   0.000014005136836037868
0.9978   0.0001199276623913429    0.000023712833610207575
0.998    0.00021019086640787507   0.00003917364142881055
0.9982   0.000360129517777754     0.00006208212364286594
0.9984   0.0005952594341802205    0.0000918914129903833
0.9986   0.0009343609469993238    0.00012226451464535852
0.9988   0.0013752620541758278    0.00013940187431569595
0.999    0.001894405931634389     0.00012878281250052782
0.9992   0.0024661791936204493    0.00008706329421934557
0.9994   0.003074516144893598     0.000022414277538750343
0.9996   0.0037149580866970514    0.00005429264508384881
0.9998   0.0044068391297929395    0.00012788937999195105
1.       0.005182790721312009     0.00017802854505317121
1.0002   0.006061470786057482     0.00018945304401737136
1.0004   0.007050587155998181     0.00015317536813946354
1.0006   0.008138696120140398     0.00006701124018290185
1.0008   0.009286495318388356     0.00005792628641650664
1.001    0.010480528348800875     0.00021695031093441064
1.0012   0.011734310860099267     0.0004276120621844338
1.0014   0.012985235637153338     0.0006911521016092527
1.0016   0.014088862770469382     0.0009668738508051902
1.0018   0.014934218393196575     0.0012034980433804961
1.002    0.015508915233588199     0.0013762311195882147
